,Headline,Lexis Nexis
414,Pandox AB (publ) has completed previously announced acquisitions of The Midland Manchester and Radisson Blu Glasgow,0
415,EOS Russia's net asset value and buyback report,0
416,Starbreeze acquires Visual Effects Studio and PresenZ technology creator Nozon for 7.1 MEUR,0
417,Getinge finalizes the acquisition of Atrium Medical Inc. and changes the date of its AGM,0
418,EQT VI acquires Independent Vetcare from Summit Partners,0
419,Oriens Selects Nature Air as Exclusive Partner,1
420,ASTRAZENECA STRENGTHENS CARDIOVASCULAR AND METABOLIC DISEASE PORTFOLIO WITH ACQUISITION OF ZS PHARMA,0
421,"www.streetinvesting.com: Market Notification for HMN Financial, Inc.",1
422,"OSC re Goldbridge Financial Inc., Wesley Wayne Weber And Shawn Lesperance",1
423,Issue and repurchase of class C shares¹,0
424,Vicore Pharmas acquisition of INIM Pharma completed,0
425,Sweco acquires Årstiderne Arkitekter to establish the first integrated architecture and engineering offering in Denmark,0
426,EOS Russia's net asset value,0
427,Etihad Airways Appoints James Mueller as Senior Vice President Sales,1
428,Cherry acquires Betman,0
429,Intrum Justitia acquires secured debt portfolio,0
430,Small Cap News: Trading Alert for Dreyfus High Yield Strategies Fund,1
431,IK Investment Partners to acquire Netel from Axcel,0
432,Husqvarna Group to acquire Pullman Ermator - strengthening its position in the light construction market,0
433,Canadian Shield Appoints Keith Laskowski as President,1
434,Ocean Thermal Energy Corporation Appoints Eminova Fondkommission AB as Introducing Partner,1
435,Unibet´s acquisition of Betchoice finalised,0
436,AppliedMicro Appoints Martin S. McDermut as Chief Financial Officer,1
437,EOS Russia's net asset value,0
438,Announcement of managers' transactions - Security Trading Oy has purchased shares in Caverion Corporation,0
439,Advanced Explorations Inc. Engages ICBC International Capital Limited as Financial Advisor,1
440,SCAN BIDCO A/S SUCCESSFULLY ISSUES A SENIOR SECURED DUAL-TRANCHE BOND TO FINANCE THE ACQUISITION OF SCAN GLOBAL LOGISTICS,0
441,EOS Russia's net asset value,0
442,Juniper Adds Former Ericsson Mobile Phone Executive Vice President as Consultant,1
443,BCSC re Intl. PBX Ventures Ltd. Revocation Order,1
444,HKEx: HKSCC Increases Penalty Fee for Securities Settlement Failure,1
445,"Colorado State University: Colorado State University Students Prepare for Spring Break, Alternative Style",1
446,Graeme Campbell Reappointed as HRNSW Chairman,1
447,D. Carnegie & Co revises upwards current earning capacity - Acquisition increases the income from property management by MSEK 32 to MSEK 260,0
448,Catena Media agrees on amended terms for US assets acquired in December 2016,0
449,TSX Trading Halt re Ordorado Resources Corp.,1
450,IIROC Resume re Gold Canyon Resources Inc.,1
451,Rabbalshede Kraft acquires new projects,0
452,Appoints Lopez as President,1
453,TSX Trading Halt re Rally Energy Corp. Pending News,1
454,Mycronic acquires RoyoTech and Kognitec,0
455,Progress Report re Pniel Estate Diamond Project,1
456,Vatic Undertakes Additional Seismic Data Analysis as It Commences Its Initial Drilling Program,1
457,Validant Names Brian Burns as CEO,1
458,HiQ AND PREDICARE REDUCE WAITING TIMES AT ACCIDENT AND EMERGENCY UNITS,0
459,Addtech acquires Goodtech Products AS,0
460,TAPI Steering Committee Endorses Turkmengaz as Consortium Leader For TAPI Gas Pipeline Project,1
461,EOS Russia's net asset value,0
462,"THE MARKETING GROUP PLC ACQUIRES ULYSSES LTD, EXTENDING GLOBAL REACH INTO U.S MARKET",0
463,Skanska acquires road construction company in Poland,0
464,bellwetherreport.com: Trade Alert for BE Aerospace Inc,1
465,EOS Russia's net asset value,0
466,Husqvarna Group acquires minority share in Franklin Robotics,0
467,Tieto strengthens its position as a business renewal partner for financial services customers - acquires Emric,0
468,Press release regarding Danir´s public offer to acquire Sigma,0
469,Endomines completes the acquisition of TVL Gold,0
470,Delaware Business Roundtable Appoints Robert W. Perkins as Executive Director,1
471,Bravida Norway expands in Orkdal - acquires Orkla Elektriker AS,0
472,BCSC re Golden Claw Ventures Inc. CTO,1
473,bellwetherreport.com: Morning Alert for Kellogg Co,1
474,Ayima to Acquire Digital and Content Marketing Agency,0
475,Bench Mark Journal: BenchmarkJournal.com Sector Analysis for NI,1
476,Management in acquired companies buy shares in Humana,0
477,Richard Garneau Joins as Chief Executive Officer,1
478,REPURCHASE OF SHARES IN ASTRAZENECA PLC,0
479,"Website ProsNames Gregory Wong as Senior Vice President, Corporate Development",1
480,EOS Russia's net asset value,0
481,EOS Russia's net asset value and buyback report,0
482,MB Financial BankHires Kevin L. Moffitt as Chief Risk Officer,1
483,CNX Consolidation re Strategic Resource Acquisition Corporation,1
484,US NAVY: HST Program Prepares Sailors for IA Deployments,1
485,"Freelance Ranks Growing as Economy Is Slowing, Kelly Services Survey Shows",1
486,MTG signs agreement to acquire Nordic´s largest independent group of production companies,0
487,Conservis Appoints Sherman Black as New CEO,1
488,Cambridge Park Limited Announces Frederick Castellano as New President,1
489,Nederman acquires US group Environmental Filtration Technologies,0
490,Associa Kramer-Triad Management Group LLC Announces Kirk Bliss as New Branch President,1
491,REPURCHASED SHARES IN KARO PHARMA DURING WEEK 26 2018,0
492,DOME ENERGY AB. ACQUIRES A LARGE PORTFOLIO OF PRODUCTION AND DEVELOPMENT ASSETS,0
493,Business focus,1
494,"CONSORTIUM OF AFRICA OIL, DELONEX AND VITOL ANNOUNCES ACQUISITION OF PRODUCING ASSETS IN DEEPWATER NIGERIA",0
495,TalkPool AG acquires Belgium based Technetix NV,0
496,marketgainer.com: Releases Coverage for NewMarket Technology Incorporated,1
497,"Powerbox acquires Eplax, strengthening custom power solutions for demanding applications",0
498,Aston Appoints Joe Hays as National Sales Manager,1
499,Sandra Fowler Joins Indoor Harvest Corp as Chief Marketing Officer,1
